mid,汽车品牌,详细车型,车型ID
2,奔驰,AMG ONE,amgone
2,奔驰,Metris,metris
2,奔驰,PureSpeed,purespeed
2,奔驰,Vision One-Eleven,visiononeeleven
2,奔驰,Vision V,visionv
2,奔驰,奔驰A级,benchiaji-5381
2,奔驰,奔驰A级 AMG,amgaji
2,奔驰,奔驰A级 AMG(进口),benchiajiamg
2,奔驰,奔驰CLA,benchicla-12241
2,奔驰,奔驰CLA AMG,benchiclajiamg
2,奔驰,奔驰CLA(进口),benchicla
2,奔驰,奔驰CLA新能源,benchiclajixinnengyuan
2,奔驰,奔驰CLA新能源(进口),benchiclajichadianhundong
2,奔驰,奔驰CLE,benchicleji
2,奔驰,奔驰CLE AMG,benchicleamg
2,奔驰,奔驰C级,benchicji-2364
2,奔驰,奔驰C级 AMG,benchicjiamg
2,奔驰,奔驰C级 AMG新能源,benchicjiamgxinnengyuan
2,奔驰,奔驰C级 插电混动,benchicjichadianhundong
2,奔驰,奔驰EQA,benchieqa-7520
2,奔驰,奔驰EQA(海外),benchieqa
2,奔驰,奔驰EQB,benchieqb-7521
2,奔驰,奔驰EQB(海外),benchieqb
2,奔驰,奔驰EQE,benchieqe-8271
2,奔驰,奔驰EQE AMG,benchieqeamg
2,奔驰,奔驰EQE SUV,eqesuv
2,奔驰,奔驰EQE SUV AMG,benchieqesuvamg
2,奔驰,奔驰EQE SUV(海外),benchieqesuv
2,奔驰,奔驰EQE(海外),benchieqe
2,奔驰,奔驰EQS,benchieqs
2,奔驰,奔驰EQS AMG,amgeqs
2,奔驰,奔驰EQS SUV,benchieqssuv
2,奔驰,奔驰EQV,benchieqv
2,奔驰,奔驰E级,benchieji
2,奔驰,奔驰E级 AMG,benchiejiamg
2,奔驰,奔驰E级 AMG新能源,benchiejiamgxinnengyuan
2,奔驰,奔驰E级 插电混动(进口),benchiejichadianhundongjinkou
2,奔驰,奔驰E级(进口),xinejijiaoche
2,奔驰,奔驰GLA,benchiglaji
2,奔驰,奔驰GLA AMG,benchiglajiamg
2,奔驰,奔驰GLB,benchiglbji
2,奔驰,奔驰GLB AMG,amgglb
2,奔驰,奔驰GLC,benchiglcji
2,奔驰,奔驰GLC AMG,benchiglcjiamg
2,奔驰,奔驰GLC AMG新能源,benchiglcamgxinnengyuan
2,奔驰,奔驰GLC新能源,benchiglcchadianhundong
2,奔驰,奔驰GLC新能源(进口),glcjichadianhundong
2,奔驰,奔驰GLC轿跑,benchiglccoupe
2,奔驰,奔驰GLC轿跑 AMG,benchiglcjiaopaoamg
2,奔驰,奔驰GLC轿跑 插电混动,benchiglcjiaopaochadianhundong
2,奔驰,奔驰GLE,benchigle
2,奔驰,奔驰GLE AMG,benchiglejiamg
2,奔驰,奔驰GLE 插电混动,glejichadianhundong
2,奔驰,奔驰GLE(进口),benchiglecoupe
2,奔驰,奔驰GLE轿跑,benchiglejiaopao
2,奔驰,奔驰GLE轿跑 AMG,benchiglejiaopaoamg
2,奔驰,奔驰GLS,benchiglsjijinkou
